question_id,question_title,question_body,question_vote
7996116,why only std::list::sort()?,"

Possible Duplicate:
Sort list using stl sort function 

The C++ standard library gives strict linear sequence container, linear sequence container, associative container.
std::sort() is available for all kinds of containers. But why only it provides sort for list. std::list::sort()?
",1
7975787,Sort an array with recursion,"
To start off this is a homework assignment and I am just looking for some pointers on using recursion.
I have an array of psuedo random integers of size n. I need to sort the array from lowest highest. Below is the recursive sort function that I have created but I know that I am missing a piece but I am not sure what.
I think what I am missing is some sort of insert function that also needs to be called recursively. I have also searched around and nothing seems particular to my situation (or at least I couldn't understand it as such). Thank you for your time in advance.
EDIT:
I guess I forgot to mention the spec says ""sort the first n-1 elements of an n-element array. Then place the nth element in its proper position within the n-1 sorted elements"". I guess I am not understanding how to sort the first the first n-1 elements of an array?
",0
7962702,Sorting a vector of structs and vector parts in other functions?,"
I have a vector ofstructs. 
I need to sort the vector in alphabetical order according to the last name of the student in eachstruct in thestudents vector. Is this possible? Each student in thestruct has the following information:
This is where my students vector is made and filled:
So I want to sort thestruct on the last name, and then be able to manipulate each “Student”struct` in the vector in ANOTHER FUNCTION. Is this possible to do?
I want to be able to able to add the double parts to each student in the vector that I have in another function. I then want to be able to print out all of the information of each student. I can print out the information of each student if I do it within the function that the students vector is in, but I need to print in another function, void gradeInput(). I will cin>> each double grade for each student, one student at a time. I was thinking it would look something like this:
Hopefully this makes some sense, and I can get some help! My teacher isn’t helping me much as she doesn’t respond to emails, and has 45 min office hours, so all you friendly folks are a great asset! Thanks!
P.S. Sorry for the poor code formatting, I'm still trying to figure out the code input of the site.
",1
7932845,std::sort going overboard,"
I'm trying to sort a vector of objects using a predicate function and I'm getting some segfaults...
I have a class Item and a list of Items in a vector< Item > _items. I needed to sort it according to a display order (numerical member of the class) and I just called a simple sort with a predicate function.
where the predicate function is 
and GetDisplayOrder is
but... I got some segfaults while doing this. I then added a counter to the predicate function to check how many times it was called and I discovered that when this crashed the counter was bigger then the size of the vector.
After some reading I changed the code to use iterators instead of using the .begin() and .end() (Shouldn't this be the same?!)
So what I have now is
with the same predicate function.
And now it doesn't crash, but... for most of the sorting I do I get more iterations then the size of the vector I am sorting (which is probably normal)
So... What is the difference between calling sort with _items.begin() or _it_start. From what I can tell they are the same right?!
One more note. Item is a simple base class declared as
As reference I used http://www.cplusplus.com/reference/algorithm/sort/ and http://www.codeguru.com/forum/showthread.php?t=366064.
In the second link they add a const and & to the predicate function arguments which would make my function something like this
but I get a compiler error:
arghhh... The question is... What am I doing wrong?
",3
7930403,Use class method comparator on std::sort,"

Possible Duplicate:
problem sorting using member function as comparator 

Is it possible to use a class method as comparator function in std::sort? 
for example:
If yes, how I do this?
",1
7907335,"Given an array of integers, find the first integer that is unique","
Given an array of integers, find the first integer that is unique.
my solution: use std::map
put integer (number as key, its index as value) to it one by one (O(n^2 lgn)), if have duplicate, remove the entry from the map (O(lg n)),  after putting all numbers into the map, iterate the map and find the key with smallest index O(n). 
O(n^2 lgn) because map needs to do sorting.
It is not efficient. 
other better solutions?
",3
7894600,Find and sort list,"
So I have a list of 2 columns like this:
The first column is an item ID and the second column is the quantity of that item that is purchased, the price of each item is in another file. What I need to do is find the total quantity of each item ordered, multiply it by its price and then display the top five items by revenue. 
So for example, above 2834 is ordered 8 times, the price of it is $2 so the total revenue for 2834 is $16. How do I find all the occurrences (quantity) of one item, save it's quantity and ID number somewhere, and do the same for the other items without repeating for a previous item. I was told maps would be useful here but I don't know how to use them.
",0
7879529,Consolidating code for merge_sort - Validation,"
I found this example of merge_sort here at cprogramming.  I'm tyring to break down the algorithm to understand the alogrithm with in the context of quick sort another SO post.
EDIT:
I've updated/fixed the code and posted it as an answer below.  This is a working merge_sort.
",0
7878768,When to use merge sort and when to use quick sort?,"
The wikipedia article for merge sort.
The wikipedia article for quick sort.
Both articles have excellent visualizations.
Both have n*log(n) complexity.
So obviously the distribution of the data will effect the speed of the sort.  My guess would be that since a comparison can just as quickly compare any two values, no matter their spread, the range of data values does not matter.
More importantly one should consider the lateral distribution (x direction ) with respect to ordering (magnitude removed).
A good test case to consider would be if the test data had some level of sorting...
",15
7869606,Error: passing 'const T' as 'this' argument of 'bool T::operator<(T)' discards qualifiers,"
Attempting to compile this gives: 
",9
7856514,How to sort a vector <char*>?,"
Is that correct or is there a better way to do it?
",4
7833065,Sorting a hand of cards in C++ poker,"
I am working on a homework assignment that involves creating a simplified poker game. I am new to C++, but this is for class, so I am here to learn. 
After I deal each players hand vector, how would I sort the vector before it prints? They are char vectors called hand1 for player 1, and hand2 for player 2. The deck is a vector of chars as well, but the rank array is a string (so that the number 10 prints), and the suit array is a char (so that the actual symbols print). Instead of printing: 8<heart>, 3<club>, A<spade>, 4<spade>, 9 <diamond>, 8<club>, 2<club>, it would print: 2<club>, 3<club>, 4<spade>, 8<heart>, 8<club>, 9 <diamond>, A<spade>.
I hope this was enough information. I can send my code if you'd like to look at it. No pointers, no classes. I'm not at that level yet (unless there is no other way to do what I am asking). I can improve upon this project in my next class. 
",1
7812914,Using an array and moving duplicates to end,"
I got this question at an interview and at the end was told there was a more efficient way to do this but have still not been able to figure it out.  You are passing into a function an array of integers and an integer for size of array.  In the array you have a lot of numbers, some that repeat for example 1,7,4,8,2,6,8,3,7,9,10.  You want to take that array and return an array where all the repeated numbers are put at the end of the array so the above array would turn into 1,7,4,8,2,6,3,9,10,8,7. The numbers I used are not important and I could not use a buffer array.  I was going to use a BST, but the order of the numbers must be maintained(except for the duplicate numbers).  I could not figure out how to use a hash table so I ended up using a double for loop(n^2 horrible I know).  How would I do this more efficiently using c++.  Not looking for code, just an idea of how to do it better.
",6
7803634,Sorting a vector<Struct> alphabetically,"

This question already has an answer here:


Sorting a vector of custom objects

                    13 answers
                



I have a std::vector<Word> data that is off of the struct below:
I have read in words from a file and pushed it in to my vector storing the words in the string above along with the line number that the word appears on. Now I need to sort the words alphabetically and I attempt the following:
However when I try to compile the following I get a crazy long list of errors. I believe this is due to the sort algorithm trying to compare the vector.begin() to vector.end() but it doesn't know how to evaluate the struct word to another struct word.
However neither do I. I am stumped on how to compare the string contained with the structs in the vector.
",5
7800646,error C2678: binary '=' : no operator found which takes a left-hand operand of type 'const Recipe' (or there is no acceptable conversion),"
I'm trying to sort a vector that contains an int and a string in each element. It is a vector of class type called vector recipes. Getting the above error, here's my code:
In my Recipe.h file
In my Menu.cpp file
In my Menu.h file
What am I doing wrong?
",6
7796962,C++ Sort Class Type Vector,"
I have a struct named Recipes.h and a vector called vector<Recipes> recipes. The vector contains 1 int, and 2 strings in each element (a string chef name and a string called instructions). However I want to sort the whole vector ONLY by the string chef_name. I tried doing something like this
But it says recipes is not a type name. How do I go about sorting this vector?
",0
7780640,How to use sort to sort a vector in a class,"
I was wondering how I can use the sort function to sort a vector which is private in a class:
So if I created A myvec_object and filled it with a vector which had values already inside it, caliing myvec_object.get_sec_ele() would return the 2nd element in the vector. However, the compiler is giving a huge error message with: ""instantiated from here"". What could be the problem?
",0
7775963,bsort example from programming pearls,"
In Programming Pearls there is an algorithm that sorts varying length arrays but sorts in time proportional to the sum of their length. For example, if we have a record array x[0...n-1], and each record has an integer length and a pointer to array bit[0...length-1].
The code is implemented this way:
My question is that, given the record:
I know how to get the string length, but what about with a bit array? How could I make a bit array suitable for this string array? And even x[i].bit[depth] how can I  implement this?
",1
7761974,Non-recursive merge sort with two nested loops - how?,"
First question here, and yes this is a homework question. We are tasked with performing merge sort on an array (which I am familiar with), but in a way I am unsure of how to do. Usually I would have a separate merge and merge sort function, and use the two. However, it sounds like he wants everything in one method? I was just hoping maybe someone could help clear things up for me, or put them into terms I can better understand.
From the assignment: 

you will need to implement a non-recursive version of merge-sort
  algorithm. Arrange two nested loops to accomplish this task. The outer
  loop should provide the size of segments for merging. The inner loop
  should take care of selecting positions of segments. The inner loop
  should start at the left edge and move your segments to the right.
  Arrange appropriate values of variables left, middle, right, so that
  sorting is accomplished just by iterating the call
  merge(a,left,middle,right).

I hate to be so vague, but I really don't understand any of what he's saying. First, what is meant by ""outer loop should provide the size of segments""? How does a loop provide anything? What about the next sentence - what does he mean by segments? The data? 
I'm not asking for code, but any psuedocode would be really helpful.
If anyone could try and decipher what he means, I'd appreciate it. I've already emailed him about it, but it's been a few hours and I've yet to hear back.
Thank you!
",11
7746648,Throwing the fattest people off of an overloaded airplane.,"
Let's say you've got an airplane, and it is low on fuel.  Unless the plane drops 3000 pounds of passenger weight, it will not be able to reach the next airport.  To save the maximum number of lives, we would like to throw the heaviest people off of the plane first.  
And oh yeah, there are millions of people on the airplane, and we would like an optimal algorithm to find the heaviest passengers, without necessarily sorting the entire list.
This is a proxy problem for something I'm trying to code in C++.  I would like to do a ""partial_sort"" on the passenger manifest by weight, but I don't know how many elements I'm going to need.  I could implement my own ""partial_sort"" algorithm (""partial_sort_accumulate_until""), but I'm wondering if there's any easier way to do this using standard STL.
",195
7675447,class for sorting integers does not work,"
I can't understand guys why following code doesn't work:
Please help me.
",-5
7669971,Sort vector based on extra parameters,"
I have a pointer to a vector of object pointers
Which happens to hold information for objects that can currently be colliding with another object. This is great- but I need to sort this vector by distance from the root object, and I don't know of the best way to do that. 
As it stands the object sorts another temporary vector of another struct
With a function like this:
Implementation:
The object now resolves collisions.
Tempsort's objects are now erased.
However I'd really like to sort the original vector instead of creating this temporary vector. Is that possible? If so, how?
",1
7662694,why doesn't this program get the conditions right just before partition?,"
I was writing a program to sort using Quick-Sort algorithm. But my program does not get the situation right just before partition.For example if i enter 5 numbers :
After i have entered these numbers i get the output as :
Program
include 
Where does the logic in the program go wrong ? If i comment the recursive call to the quickSort(...) , then the output is , what it should be. (2  200  30  1  100)
",-2
7628562,implementation counting sort,"
here is code for counting sorting
but output is just 2,only one number. what   is  wrong i can't understand please guys help me
",0
7625936,Sort after inserting an item into a Linked List?,"
I have a C++ Program to insert Nodes to a linked list. The Nodes consist of a string that we'll call data, and a pointer to the next node that we'll call next. Also, the head node will be defined as head.
I'm not sure what's more efficient - 
 1. Inserting a bunch of strings to my list then sorting it afterward
 2. Or sorting the list as I insert.
I think it's the latter, and I am wondering how I will go about implementing something like that.
I want to know the simplest way to implement such a function.
",0
7584320,Sorting the EdgeList in boost::graph,"
I would like to to sort the edge List of boost::graph defined as followed:
After adding the vertices and edges, how to I sort the edge list. Getting the edge with the highest weight first? 
I know one can use 
for vectors, but it doesn't work for std::list.
",1
7549211,Sorted linked list and the addSorted function problem.,"
So I've been working on this for awhile and I can't seem to figure out what's wrong.  This addSorted function adds in all the correct values in their respectable places of the sorted array but when it goes into add a 0 to the front of the list, the program will not terminate and there is no result displayed.  Anyone have any clue of why this may be?
",1
7548313,Pointer questions regarding linked lists,"
Alright guys, so I've been working on a linked list program and I've run into a problem.  I'm trying to place a piece of data into an already sorted linked list in a sorted fashion.  Right now, I'm comparing the pointer data the user gives (Data * newData) to the head (LinkNode * current = head) and I know that's where my program is failing.  I know I have to compare actual values, not memory addresses, but I'm not sure how I would go about doing it.  Anybody have any suggestions at all or ideas?
Thanks. 
",1
7540554,Implementing fa unction that adds and sorts data in a singly linked list (addsort)?,"
I'm very new to C++ so it's a bit hard to understand the syntax sometimes. Anyways, I'm supposed to implement a function that adds and sorts the data given into a linked list. For example if I pass 2 into the list [1,4,5] then I should get [1,2,4,5]
Here is what I have written so far, and no it does not work, I keep getting ""blah blah not declared in this scope""
Someone please help me, I'm using the struct LinkNode I think which is already given, in addition to a bunch of other functions like add, insert, remove, get, and size
I'm not looking to just get the answer, I need to know why what I have isn't working.
",0
7520133,Heap Sort in C++,"
Okay, so after struggling with trying to debug this, I have finally given up. I'm a beginner in C++ & Data Structures and I'm trying to implement Heap Sort in C++. The code that follows gives correct output on positive integers, but seems to fail when I try to enter a few negative integers.
Please point out ANY errors/discrepancies in the following code. Also, any other suggestions/criticism pertaining to the subject will be gladly appreciated.
I've been reading up on Heap Sort but I'm not able to grasp most of the concept, and without that I'm not quite able to fix the logical error(s) above.
",2
7465647,C++ Selection Sort of an Array of String Objects,"
I'm trying to implement a selection sort function for an array of user inputted string objects.  Am I on the right path as far as arguments go.  Thanks
",0
7446743,Sorting vector of pointers,"
I'm having a little trouble trying to sort a vector of pointers.
This is what I have done so far:
My less-than operator works, if I write like this:
Why does sort never call the operator?? Any help would be appreciated!
Thanks.
madshov
",13
7438909,c++ sorting names alphabetically,"
I have a program that is trying to sort some names alphabetically. I run it and it does not have any errors, but the names are not sorted. I compare 2 names and see which one is supposed to be shifted in the array.
Here is the code: 
My struct looks like this:
Do I have to convert these to strings somewhere because they are characters arrays? I am kind of lost and trying to figure out how to make it sort properly.
",0
7434344,How to sort both data member arrays of a class in code shown,"
I have a simple C++ code written to understand sort function usage on user defined class data types to sort data members of a class.
But this only sorts array of variable b in the class. Because, the earlier sorted array of variable a, is also disturbed whiel sorting b. 
The output I get is as follows:
How to sort both data member arrays - a,b?
",1
7433140,Sort Stack Overflow and Number of Compares and Swaps Negative,"
I wrote this bubble sort and used it in a test program that gives random numbers in a list by an amount inputted by the user. It was then given a list of 10,000 random ints and came back with a stack overflow at line 55 ""if (swaps != 0){sort();}"" why is this. Also at times it works but gives back a value for myCompares and mySwaps that is negative. Can you help?
",0
7372132,"C++ STL sort() function, binary predicate","
I have a piece of code that confuses me:
it is a sort function in the C standard library. I am having trouble figuring out the meaning of the third argument. I have read that it is called a binary predicate. What does that mean and how can I make my own such predicate?
",12
7337651,file sort in c++ by modification time,"
How to sort a file by modification time in C++?
std::sort needs a comparison function.
It takes vector as the arguments. I want to sort files based on modification.
Is there already a comparison function or API available that I can use to achieve this?
",0
7330063,Sorting one array and two others array follow,"
Suppose we have three arrays a, b, and c:
Array a is then sorted, so it becomes:
Is it possible to arrange for the other two arrays to have their elements rearranged by index, so that they mirror the placement of the sorted elements in the sorted array a? In this example, this should result in
How can I achieve this?
",4
7303572,sort one array and other array following?,"
here is the C++ sample
how do i make it so if i sort array a, array b also following array a
example
is it possible using sort function
but also sort array b aswell ?
edit: what if there are 3 arrays ?
",0
7232297,Redirecting input using stdin,"
I am writing a short program to sort an array of integers. I am having trouble opening my input file which is ""prog1.d"". The assignment has asked to create a symbolic link in the programs directory, and I after creating the object & executable, we invoke the program as follows...
I know my bubble sort works correctly & efficiently because I have used my own test 'txt' file.
The assignment says:

Your program gets the random integers from stdin and puts them in an array, sorts the integers in the array in ascending order, and then displays the contents of the array on stdout.

How do I read the file using 'cin' until EOF & add the integers to my array a[] ?
Here is my code so far:
I know that opening a stream is the wrong way to do this, I just was using it for a test 'txt' file I was using to make sure my sorting worked. The teacher said we should redirect the input to 'cin' like someone was entering integers on a keyboard.
Any help would be greatly appreciated.
",4
7184943,How to use existing integer sort to sort integer tuples?,"
Does anyone know of an efficient algorithm to use an existing integer sort (such as the STL sort) to sort integer tuples without modifying the existing integer sort.  E.g. I want to sort a list of 4 integer tuples.  Tuples are in the form: <int,int,int, int>.  Again assume the integer sort can only deal with single ints.
",0
8770383,Two questions about vector use,"
I have created a class ""firefly"" similar to this:
Focus on the last two functions; I have two question about them.
In the main program I wanted to initialize a vector of fireflies as follows:
using the parametric constructor. Can I do this?
The secondo question.
This vector should be ordered by the algorithm sort,
having overloaded operator< as follows:
Is there anything wrong in doing this? (i think there is something wrong, because I can't)
",0
8692066,Best way to sort a tree node?,"
Say I have created some code using a node class:
and assume that the data structure has a relatively large size in memory (e.g. 50 MiB) and is unsorted.
Is there any reasonably efficient way for me to sort all the nodes (recursively) based on name other than simply creating a new, sorted tree in memory and then discarding the old copy?
Clarification regarding the sorting:
The vector children is simply to be sorted based on each element's name. Nothing else affects the sorting.
(i.e. this would require me to swap two objects without deep-copying them -- is this possible in C++03 and earlier? How about later?)
",-3
8687387,Bug in my 'next offset' algorithm - C++,"
I am trying to apply filenames to the files loaded from an archive. 
For the first step, I create an array of structs that hold three bits of information. The filename, the file size and the offset in the file (from the beginning). The file sizes and offsets are initially read in to the structs. Then, I decode the filenames and read them into a vector.
Here is where it gets tricky. The filenames in order apply to the order of the offsets. The offsets however are not in order. For example:
So with 3 filenames decoded into my vector, I would apply filename #1 to file 1, filename #2 to file 3 (because it has a lower offset), and finally filename #3 to file 2.
Now, my algorithm for doing this doesn't seem to work correctly. Here is the code:
file_names is my vector with the strings in it. file_count is subtracted by 1 because it includes the directory file for the archive which does not need to be counted. It is also the highest offset and therefore not even dealt with.
Basically, this code tries to find the next highest offset every time and then apply the next file name in the vector.
Here is the output from my error log:
This indicates it has clearly not worked.
The other option I can do is sort the array of structs by offsets ascending, which I have no clue how to do but would make this process much easier as I could just apply the names in order.
Thank you for your time and let me know if you see the error.
",2
8662008,c++ projects depending on sorting and search algorithms,"
I've been trying to study datastrucutres and algorithms for many times and I feel everytime that I'm spending time on the theoretical part.
I wanted to know if there are some common famous projects to implement that mainly depend on sorting and search algorithms using C++ in order to practice more.
",3
8661065,C++ Sorting Algorithm Code for Singly Linked List,"

Possible Duplicate:
Sort a single linked list 

What will be the sorting algorithm code to sort a singly linked list in the following form after the nodes inserted and I am finished with it? I have tried bubble sort but I could not achieve..
",0
8649356,How do I implement a library sort algorithm using STL containers?,"
I'm trying to implement this sorting algorithm: http://en.wikipedia.org/wiki/Library_sort. I have some functions grupBul for finding suitable group, grupSirala for sort every group. I have to leave some gaps and contain them in a vector another data structure. 
How can I perform this? So far I have this code:
",3
8638887,Using sorting algorithms on a Queue?,"
I'm using Queue Abstract Data Type which is based on Singly Linked List. I want to sort the data which Queue keeps in 3 ways: First with merge sort, second with quick sort, third with heap sort. So is there anyone can help about this?
",-1
8627177,Sorting small numbers of elements,"
I am often finding myself in a situation where I want to sort a small number of elements. By small, I mean 3 or 4. I am probably correct in thinking that with such small problem sets I would want to use some type of explicit or direct method rather than invoking a sort function. 2 is trivial, 3 elements is still pretty simple but above 4 items or so and I'm starting to prefer the simplicity of just running insertion sort. 
Up to how many elements can I expect a benefit to coding up a inline void sort_n(int *list)? 4? 5? 6? 
In this topic, sorting int array with only 3 elements, there are two solutions for sorting 3 elements provided. One has more comparisons while the other minimizes comparisons but is more complicated. On a modern architecture, which would come out on top for speed?
",4
8623575,Sorting multidimensional array C++ strange behaviour,"
I'm doing some programming practice right now by trying to sort a 2D array on it's first ""column"".
I am reading input from a file:
This is my code:
As you can see, I try to sort the input by it's first column (I don't care about the first line at the moment).
However, this is the result:
This is the expected result:
I can't figure it out.
",1
8600159,How to provide test cases for a C++ program and what if QA dept. reject it?,"
This is an open-end interview question.
Given an array with 2 numbers are duplicated odd times and others duplicated even numbers, find the odd duplicated numbers. 
After designing a C++ program of sorting and scan O(n lgn) , I need to provide some test cases. 
What test cases do I need to provide ? 
What if QA department reject my bug fix proposal ? 
thanks
",0
8599012,Sort 1TB file on machine with 1GB RAM,"
This questions seems easy, but I am not able to understand the real work behind it.
I know people will say, break down into 512 Megs chunks and sort them like using Merge Sort using Map reduce.
So here is the actual question i have: 
Suppose i break the file into 512 Megs chunk and then send to different host machines to sort them.
suppose these machines used the Merge Sort.
Now say, i had 2000 machines each sorted 2000, 512 megs of chunk. Now when i merge them back, how does that work? Won't the size keep on increasing again? For example merging two 512 megs will make 1024Megs which is size of my RAM so how would this work? Any machine can't merge a chunk of more than 512 megs chunk with another chunk because then size > 1 GB.
How at the end of merging will i ever be able to merge two 0.5 TB chunk with another 0.5 TB chunk.. Does the concept of Virtual Memory come into play here?
I am here to clarify my basics and i hope i am asking this very important question (correctly) correctly. Also, who should do this merge(after sorting)? My machine or few of those 2000 machines? 
",9
8595160,trouble creating a custom sort in C++ for a vector of pointers,"
I am trying to create a custom sort for a vector of class pointers by using a sort predicate:
For each network, we sort by a float returned by airtime().
Now, I try to use this as follows:
However, I get a lot of errors like this:
Am I not specifying the argument passed to the predicate properly?  airtime() is implemented by classes that inherit the Network class.
",0
8581674,Sorting a vector of objects using a compare function,"
I am trying to follow a link where a someone is trying to simplify the C++ sort reference http://www.cplusplus.com/forum/beginner/4817/ however I can not get the bool operator function to compile the way he has it.
I have vector of event objects. I want to sort the vector based on the event begin time. If the begin times were numbers, this would be easier but they are strings so I had to write functions to convert to uint64_t, all of my code up to this sort attempt is working as it should. Here is the code I am trying to get to work:
The bool function:
This code compiles but I can not figure out how to give it a name, and therefore I cannot reference it in the sort. Also, I would rather overload the < operator but I keep getting an error it needs a third argument.
Here is my sort:
Slightly unrelated is that I know I am supposed to use const in the args but I can not call the functions of the Event class if I have them implemented.
",0
8561139,Sorting Class Objects Stored In Deque,"
I am trying to store email addresses written in a file and sort them by hits in the file.
I am storing the email addresses and the number of hits in a class called emailAddress.
I am managing the members of that class in a Deque in another class called AddressManager.
The sort function I am trying to use is the sort from the algorithm library. Like this.
When I compile I get this error:
Can I pass swapTest to sort, or does it need to be defined outside of AddressManager somehow?
Or could someone suggest a way to implement my own sort in AddressManager and not use the library version at all?
Thanks,
ANkh
",2
8556296,Why does std::sort() change the sorted vector?,"
here is the problem:
In my first class i have a vector, a double variable and I overload the comparison operators. Here is the relevant code:
In another class I have a vector of cities, which I have to sort every time a condition is met. For that I have a struct defined as follows:
EDIT: (reference instead of value)
Now the problem part, when I sort the vector new City objects appear, and I can't explain why:
EDIT:
EDIT: (the copy constructor and assignment operator)
The weird part is that this only happens if I sort the City objects in ascending order, i.e. if I change the comparator operator in the CitySortHelper from ""<"" to "">"" everything works fine.
Any ideas why this happens ?? Any help is appreciated.
",3
8555439,When to use which Sorting algorithm and when definitely shouldn't,"
We see lot of sorting techniques like Merge, quick, Heap. Could you help me decide which of these sorting techniques to be used in which kind of environment(as in the problem)? When should we use which of these sorting algorithms and where not(their disadvantages in time and space)?
I am expecting answer something in this form: 
a) We would use Merge sort when... we should definitely not use Merge Sort when...
b) We would use Quick sort when... we should definitely not use quick Sort when...
",1
8532224,invalid operator < while sorting std::list,"
I have a std::list graph edges and i want to sort the edges based on their destination outdegree and then their indegree. But i am getting  getting exception of invalid operator < during my comparison function below is my code. My list contains the pointers to the edges and 
edges have destination nodes as their member.
}
And here is the call to the sort function.
Please help me in removing this exception.

Thanks
",19
8512330,How can I order a map by value efficiently?,"
Consider a std::map<K,V>. I want to re-order the map by value profiting by an appropriate container std::C<V*> or std::C<V&>, in a way that no copies of values are done to store the elements in C. Furthermore, elements in C must be sorted according to the result of int f(V&) applied to each element. Despite my efforts I could not find an appropriate C and an enough efficient way to build it. Do you have any solution? A small example would be much appreciated.
",3
8469933,How to sort list with multiple sort keys,"
I am using compare function to sort QList
and MyClass has n different attribute(s) like address, age, firstname, lastname etc
SortKey is something like this.
Sorting by single attr. works fine with qSort.
But I need list sorted with multiple attr. like 'sort by lastname, then by age, then by gender'
I need a sort function to sort by multiple sortKey (which is not working !)
How can we sort with multiple sort keys?
Is there any data structure available that supports this ? (like map always keep things sorted according to key given)
",2
8454757,Sorting pair not working,"
if i input 
i want it to output
but it output 
isn't sort suppose to sort the first ? but it doesn't seems to work. i tried this on Dev C++ and it output correct, but when tried this on ideone it output wrong
Please help me, sorry for my bad english.
",1
8452547,"Find the 10 largest quantity lines in a text file with shipment ID , UPC code , quantity","
It is an interview question. 
Given a text file, each line includes  :   shipment ID ,   UPC  code ,  quantity 
Find the 10 largest quantity lines. 
My solutions : 
By c++
make a min heap (with size 10) with quantity as compare object.
Read each entry as a struct with field { shipment ID, UPC code, quantity } 
Compare it with the top element of the 10-element min-heap, 
if > replace the top element with it,  else read the next element. 
It is O(n lg n). 
Space O(1). 
Better solutions ? 
thanks
",0
8452248,How to combine 2 partially sorted arrays?,"
Given 2 arrays with int, A1 and A2. A1 length is L1, A2 length is L1+L2. 
The first L2 elements of A1 and A2 have been sorted. Combine the first L2 elements into A2. 
e.g. 
my solutions: 
Pick each element by putting min { A1[i], A2[i]}  into a array B[i], O(2 * L2)
Copy B to A2. O(L1 + L2). 
Unsorted part should not be changed. 
Any better solutions ? 
thanks
",3
8434883,How should I declare a function that sorts arrays of string and int together?,"
I've declared a function sort that should sort my arrays of strings and numbers, but when I call it, I get an invalid initialization of non-const reference of type 'std::string&' from a temporary of type 'std::string*'.
I also need to get it to keep the array numoftoys in sync with this one as it sorts.
",0
8434272,How do I sort two parallel arrays?,"
I have an array of numbers (int numoftoys[]) and a parallel array of strings (string names[]) whose entries correspond to the numbers. My assignment requires me to sort the number array so when I print, it prints the highest number first, then the next highest, and so on. How would I do that and keep the array that holds the names synced up with the number array?
",0
8403814,c++ counting sort,"
I tried to write a countingsort, but there's some problem with it.
here's the code:
In the last loop it throws an exception ""Acces violation writing at location: -some ram address-""
Where did I go wrong?
",0
8394313,No output for sorted and searched array,"
I've been studying everything I've gone over in my first semester of programming. I have a final coming up so I've been trying to write sample programs combining everything I've learned to prepare. The program below is supposed to read in names from a file, sort them via bubble search, and then prompt the user to enter a name, which the binary search will look for and tell you if the person is a friend or not.
My problem is, when I type a name, I am only prompted to type the name again. There is no output.
Please keep in mind that everything in here is mostly what I've learned so far (so I do not know how to use vectors, pointers, etc).
",0
8392739,cannot convert from 'std::string' to 'char',"
Changed completely due to suggestions from other member. Most problems solved, still having problems. Now won't output any names from the array in main. Not sure if I'm passing them back correctly from function.
",1
8382997,C++ Recursive Merge Sort passing pointers resulting in zeros,"
I'm having some trouble with an assignment where I was to covert a specific recursive merge sort algorithm which uses a vector, but using an array instead.
Here's what I have so far, Sort() works fine I believe. But, Merge() is where I think the issue lies...thank you!
Here is the original vector implementation:
",1
8372918,C++ std list sort with custom comparator that depends on an member variable for the object instance,"
Class:
I am calling a sort on non-empty list in another member function:
My sorting function:
The Error:
I have researched and come across the following questions: 
C++ Custom compare function for list::sort
Problem sorting a list of pointers
Error in std::list::sort with custom comparator (expected primary-expression before ')' token)
and they would have been sufficient had it not been for the fact that in this class, the sortFunc depends on the member variable WORDS for that instance of the object. So I cannot make the comparator function (sortFunc) static or global
EDIT: Just came across this How to sort a std:list when you need member data? and it provides a solution by making a friend class, but is it possible to accomplish this inside the user-defined class itself?
",4
8340641,How can I write a comparator with a intermediate variable for stl sort,"
But I CANNOT use a static referencePoint for multithreading safe, is there any other way??
Thanks.
",1
8333337,Sorting Subsets of a Sorted Vector,"
I'm trying to figure out the best way to sort an array under multiple criteria. I want to sort an array, then sort a subset of that array if they were equal under the first criteria.
Example:
Say we have the data: { (""cat"", 2), (""dog"", 4), (""cat"", 1), (""dog"", 3) }
We sort this first according to alphabetical order of the string:
{ (""cat"", 2), (""cat"", 1), (""dog"", 4), (""dog"", 3) }
Then we sort the two subsets (set of cats and the set of dogs) in increasing order of their numbers:
{ (""cat"", 1), (""cat"", 2), (""dog"", 3), (""dog"", 4) }
Also, I'm using a recursive quicksort method that has the following header:
where left and right are the bounding indices by which the vector should be sorted. 
Should I add code to the sorting method itself or should i call the sorting method again somehow?
",-1
8329690,How to sort a group with n objects with O(n) time and O(1) space. Each object has two fields : int and string.,"
How to sort a group with n  objects. Each object has two fields : int and string. 
The objects should be sorted according to the int field. But, we only know the range of int field not its value.  
It should be done in O(n) time and O(1) space. 
I suggest bucket sort but I do not know how to do it with O(1) space. 
Quick sort can be used but it is O(n lg n). 
Any ideas ? thanks
",1
8321885,selecting between subset of data,"
suppose I have {a,b,c} between subsets of them:
I want to have the complete members in an array for example:
I mean I want to extract the sets which don't have any common member and one array has all the members
I want to reduce the complexity time if I search the whole it will be n*n
but I think recursive writing will reduce the time complexity
but I can't solve how to code the recursive one.
this example was with 3 members I want it for n members.
I know how to extract subsets but I don't know how to fill my array with this condition.
",0
8302797,Convert String into all uppercase - C++,"
I am having trouble turning strings to uppercase for an alphabetical sort. My program actually begins to slow down and freeze after the third set of words. What am I doing wrong?
",1
